trip_id,arrival_time,departure_time,stop_id,stop_sequence
2line-red-0500,05:00:00,05:00:00,bdt,1
2line-red-0500,05:08:00,05:08:00,red,2
2line-red-0600,06:00:00,06:00:00,bdt,1
2line-red-0600,06:08:00,06:08:00,red,2
2line-red-0700,07:00:00,07:00:00,bdt,1
2line-red-0700,07:08:00,07:08:00,red,2
2line-red-0800,08:00:00,08:00:00,bdt,1
2line-red-0800,08:08:00,08:08:00,red,2
2line-red-0900,09:00:00,09:00:00,bdt,1
2line-red-0900,09:08:00,09:08:00,red,2
2line-red-1000,10:00:00,10:00:00,bdt,1
2line-red-1000,10:08:00,10:08:00,red,2
2line-red-1100,11:00:00,11:00:00,bdt,1
2line-red-1100,11:08:00,11:08:00,red,2
2line-red-1200,12:00:00,12:00:00,bdt,1
2line-red-1200,12:08:00,12:08:00,red,2
2line-red-1300,13:00:00,13:00:00,bdt,1
2line-red-1300,13:08:00,13:08:00,red,2
2line-red-1400,14:00:00,14:00:00,bdt,1
2line-red-1400,14:08:00,14:08:00,red,2
2line-red-1500,15:00:00,15:00:00,bdt,1
2line-red-1500,15:08:00,15:08:00,red,2
2line-red-1600,16:00:00,16:00:00,bdt,1
2line-red-1600,16:08:00,16:08:00,red,2
2line-red-1700,17:00:00,17:00:00,bdt,1
2line-red-1700,17:08:00,17:08:00,red,2
2line-red-1800,18:00:00,18:00:00,bdt,1
2line-red-1800,18:08:00,18:08:00,red,2
2line-red-1900,19:00:00,19:00:00,bdt,1
2line-red-1900,19:08:00,19:08:00,red,2
2line-red-2000,20:00:00,20:00:00,bdt,1
2line-red-2000,20:08:00,20:08:00,red,2
2line-red-2100,21:00:00,21:00:00,bdt,1
2line-red-2100,21:08:00,21:08:00,red,2
2line-red-2200,22:00:00,22:00:00,bdt,1
2line-red-2200,22:08:00,22:08:00,red,2
2line-red-2300,23:00:00,23:00:00,bdt,1
2line-red-2300,23:08:00,23:08:00,red,2
2line-red-2415,24:15:00,24:15:00,bdt,1
2line-red-2415,24:23:00,24:23:00,red,2
2line-red-2530,25:30:00,25:30:00,bdt,1
2line-red-2530,25:38:00,25:38:00,red,2
2line-sea-0500,05:00:00,05:00:00,sbs,1
2line-sea-0500,05:18:00,05:18:00,sea,2
2line-sea-0600,06:00:00,06:00:00,sbs,1
2line-sea-0600,06:18:00,06:18:00,sea,2
2line-sea-0700,07:00:00,07:00:00,sbs,1
2line-sea-0700,07:18:00,07:18:00,sea,2
2line-sea-0800,08:00:00,08:00:00,sbs,1
2line-sea-0800,08:18:00,08:18:00,sea,2
2line-sea-0900,09:00:00,09:00:00,sbs,1
2line-sea-0900,09:18:00,09:18:00,sea,2
2line-sea-1000,10:00:00,10:00:00,sbs,1
2line-sea-1000,10:18:00,10:18:00,sea,2
2line-sea-1100,11:00:00,11:00:00,sbs,1
2line-sea-1100,11:18:00,11:18:00,sea,2
2line-sea-1200,12:00:00,12:00:00,sbs,1
2line-sea-1200,12:18:00,12:18:00,sea,2
2line-sea-1300,13:00:00,13:00:00,sbs,1
2line-sea-1300,13:18:00,13:18:00,sea,2
2line-sea-1400,14:00:00,14:00:00,sbs,1
2line-sea-1400,14:18:00,14:18:00,sea,2
2line-sea-1500,15:00:00,15:00:00,sbs,1
2line-sea-1500,15:18:00,15:18:00,sea,2
2line-sea-1600,16:00:00,16:00:00,sbs,1
2line-sea-1600,16:18:00,16:18:00,sea,2
2line-sea-1700,17:00:00,17:00:00,sbs,1
2line-sea-1700,17:18:00,17:18:00,sea,2
2line-sea-1800,18:00:00,18:00:00,sbs,1
2line-sea-1800,18:18:00,18:18:00,sea,2
2line-sea-1900,19:00:00,19:00:00,sbs,1
2line-sea-1900,19:18:00,19:18:00,sea,2
2line-sea-2000,20:00:00,20:00:00,sbs,1
2line-sea-2000,20:18:00,20:18:00,sea,2
2line-sea-2100,21:00:00,21:00:00,sbs,1
2line-sea-2100,21:18:00,21:18:00,sea,2
2line-sea-2200,22:00:00,22:00:00,sbs,1
2line-sea-2200,22:18:00,22:18:00,sea,2
2line-sea-2300,23:00:00,23:00:00,sbs,1
2line-sea-2300,23:18:00,23:18:00,sea,2
2line-sea-2605,26:05:00,26:05:00,sbs,1
2line-sea-2605,26:23:00,26:23:00,sea,2
550-sea-0730,07:30:00,07:30:00,bdt,1
550-sea-0730,08:00:00,08:00:00,sea,2
550-bel-1730,17:30:00,17:30:00,sea,1
550-bel-1730,18:00:00,18:00:00,bdt,2
