route_id,service_id,trip_id,trip_headsign,direction_id
2line,daily,2line-red-0500,Redmond,0
2line,daily,2line-red-0600,Redmond,0
2line,daily,2line-red-0700,Redmond,0
2line,daily,2line-red-0800,Redmond,0
2line,daily,2line-red-0900,Redmond,0
2line,daily,2line-red-1000,Redmond,0
2line,daily,2line-red-1100,Redmond,0
2line,daily,2line-red-1200,Redmond,0
2line,daily,2line-red-1300,Redmond,0
2line,daily,2line-red-1400,Redmond,0
2line,daily,2line-red-1500,Redmond,0
2line,daily,2line-red-1600,Redmond,0
2line,daily,2line-red-1700,Redmond,0
2line,daily,2line-red-1800,Redmond,0
2line,daily,2line-red-1900,Redmond,0
2line,daily,2line-red-2000,Redmond,0
2line,daily,2line-red-2100,Redmond,0
2line,daily,2line-red-2200,Redmond,0
2line,daily,2line-red-2300,Redmond,0
2line,daily,2line-red-2415,Redmond,0
2line,daily,2line-red-2530,Redmond,0
2line,daily,2line-sea-0500,Seattle,1
2line,daily,2line-sea-0600,Seattle,1
2line,daily,2line-sea-0700,Seattle,1
2line,daily,2line-sea-0800,Seattle,1
2line,daily,2line-sea-0900,Seattle,1
2line,daily,2line-sea-1000,Seattle,1
2line,daily,2line-sea-1100,Seattle,1
2line,daily,2line-sea-1200,Seattle,1
2line,daily,2line-sea-1300,Seattle,1
2line,daily,2line-sea-1400,Seattle,1
2line,daily,2line-sea-1500,Seattle,1
2line,daily,2line-sea-1600,Seattle,1
2line,daily,2line-sea-1700,Seattle,1
2line,daily,2line-sea-1800,Seattle,1
2line,daily,2line-sea-1900,Seattle,1
2line,daily,2line-sea-2000,Seattle,1
2line,daily,2line-sea-2100,Seattle,1
2line,daily,2line-sea-2200,Seattle,1
2line,daily,2line-sea-2300,Seattle,1
2line,daily,2line-sea-2605,Seattle,1
550,daily,550-sea-0730,Seattle,1
550,daily,550-bel-1730,Bellevue,0
