service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
66185,0,1,1,1,1,0,0,20260519,20260828
65418,0,1,1,1,0,0,0,20260519,20260828
63597,1,1,1,1,1,0,0,20260525,20260828
61729,1,1,1,1,1,0,0,20260526,20260828
60962,1,1,1,1,0,0,0,20260526,20260828
55599,0,0,1,0,0,0,0,20260526,20260828
54892,0,0,1,0,0,0,0,20260520,20260828
54781,0,0,1,0,0,0,0,20260527,20260828
54336,1,1,1,1,0,0,0,20260608,20260828
52562,0,1,1,1,0,0,0,20260519,20260827
50236,0,0,0,0,0,0,0,20260526,20260828
47665,0,1,0,1,0,0,0,20260521,20260827
46915,0,1,0,1,0,0,0,20260526,20260827
24956,1,1,1,1,0,0,0,20260608,20260717
15869,0,0,0,0,0,0,1,20260524,20260823
15102,0,0,0,0,0,0,1,20260524,20260823
15052,0,0,0,0,0,1,0,20260523,20260822
14226,0,0,0,0,0,1,0,20260523,20260822
13454,0,0,1,1,0,0,0,20260519,20260617
13400,0,0,0,0,0,1,0,20260530,20260822
13393,0,0,0,0,0,0,1,20260531,20260823
13234,0,0,0,0,0,0,1,20260524,20260823
12856,0,0,0,0,0,0,0,20260522,20260828
11574,0,0,0,0,0,0,0,20260522,20260828
11082,0,1,1,1,1,0,0,20260519,20260605
10726,1,1,1,1,1,0,0,20260527,20260617
9846,0,0,0,0,0,0,0,20260529,20260828
7980,0,0,0,1,0,0,0,20260519,20260616
6626,1,1,1,1,1,0,0,20260526,20260605
5474,0,0,1,0,0,0,0,20260520,20260617
5363,0,0,1,0,0,0,0,20260527,20260617
4456,0,1,1,1,1,0,0,20260519,20260522
4150,0,0,1,0,0,0,0,20260520,20260610
4039,0,0,1,0,0,0,0,20260527,20260610
2919,0,0,0,0,0,0,0,20260615,20260706
2728,0,1,1,1,0,0,0,20260519,20260521
2617,0,1,0,1,0,0,0,20260519,20260521
2073,0,0,0,0,1,0,0,20260615,20260624
1868,1,0,0,0,0,0,0,20260525,20260525
1839,0,0,1,0,1,0,0,20260520,20260522
1728,0,0,0,0,1,0,0,20260522,20260522
1540,0,0,1,0,0,0,0,20260701,20260701
1324,0,0,1,0,0,0,0,20260617,20260617
1282,0,0,0,0,1,0,0,20260619,20260626
826,0,0,0,0,0,1,0,20260523,20260523
767,0,0,0,0,1,0,0,20260703,20260703
750,0,0,0,1,0,0,0,20260521,20260521
608,0,0,0,0,0,0,1,20260524,20260524
402,1,0,0,0,0,0,0,20260706,20260706
186,0,0,0,0,1,0,0,20260626,20260626
111,0,0,1,0,0,0,0,20260520,20260520
