fare_product_id,fare_product_name,rider_category_id,fare_media_id,amount,currency
Bus,Single Ride,Adult,Cash,3.00,USD
Bus,Single Ride,Adult,Tap to Pay,3.00,USD
Bus,Single Ride,Adult,ORCA,3.00,USD
Bus,Single Ride,Adult,Transit Go Ticket,3.00,USD
Bus,Single Ride,Youth,ORCA,0.00,USD
Bus,Single Ride,Senior,ORCA,1.00,USD
Bus,Single Ride,Senior,Transit Go Ticket,1.00,USD
Streetcar,Single Ride,Adult,Tap to Pay,3.00,USD
Streetcar,Single Ride,Adult,ORCA,3.00,USD
Streetcar,Single Ride,Adult,Transit Go Ticket,3.00,USD
Streetcar,Single Ride,Senior,Tap to Pay,1.00,USD
Streetcar,Single Ride,Senior,ORCA,1.00,USD
Streetcar,Single Ride,Senior,Transit Go Ticket,1.00,USD
Streetcar,Single Ride,Youth,ORCA,0.00,USD
