agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
1,Metro Transit,https://kingcounty.gov/en/dept/metro,America/Los_Angeles,EN,206-553-3000,https://kingcounty.gov/en/dept/metro/fares-and-payment/prices,
19,Intercity Transit,https://www.intercitytransit.com/,America/Los_Angeles,en,360-786-1881,https://www.intercitytransit.com/zerofare-faqs,customerservice@intercitytransit.com
20,Kitsap Transit,http://www.kitsaptransit.com,America/Los_Angeles,en,(800) 501-7433,http://www.kitsaptransit.com/fares/fares,kitsapride@kitsaptransit.com
23,City of Seattle,https://www.seattle.gov/transportation/getting-around/transit/streetcar,America/Los_Angeles,EN,206-684-7623,https://www.seattle.gov/transportation/getting-around/transit/streetcar/fares-and-orca-card,
29,Community Transit,https://www.communitytransit.org/,America/Los_Angeles,en,(800) 562-1375,https://www.communitytransit.org/fares-and-passes,riders@commtrans.org
3,Pierce Transit,https://www.piercetransit.org,America/Los_Angeles,en,1-253-581-8000,https://www.piercetransit.org/fares-passes/,ptcustomer@piercetransit.org
40,Sound Transit,https://www.soundtransit.org,America/Los_Angeles,en,1-888-889-6368,https://www.soundtransit.org/ride-with-us/how-to-pay/fares,main@soundtransit.org
51,Amtrak,http://www.amtrak.com,America/Los_Angeles,en,,,
95,Washington State Ferries,https://www.wsdot.wa.gov/ferries/,America/Los_Angeles,en,1 (888) 808-7977,https://wave2go.wsdot.com/webstore/landingPage?cg=21&c=76,
96,Seattle Center Monorail,http://www.seattlemonorail.com,America/Los_Angeles,en,2069052620,,
97,Everett Transit,http://www.everetttransit.org/,America/Los_Angeles,en,,http://www.everetttransit.org/,
