service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10726,1,1,1,1,1,0,0,20260527,20260617
11082,0,1,1,1,1,0,0,20260519,20260605
111,0,0,1,0,0,0,0,20260520,20260520
11574,0,0,0,0,0,0,0,20260522,20260828
1282,0,0,0,0,1,0,0,20260619,20260626
12856,0,0,0,0,0,0,0,20260522,20260828
13234,0,0,0,0,0,0,1,20260524,20260823
1324,0,0,1,0,0,0,0,20260617,20260617
13393,0,0,0,0,0,0,1,20260531,20260823
13400,0,0,0,0,0,1,0,20260530,20260822
13454,0,0,1,1,0,0,0,20260519,20260617
14226,0,0,0,0,0,1,0,20260523,20260822
15052,0,0,0,0,0,1,0,20260523,20260822
15102,0,0,0,0,0,0,1,20260524,20260823
1540,0,0,1,0,0,0,0,20260701,20260701
15869,0,0,0,0,0,0,1,20260524,20260823
1728,0,0,0,0,1,0,0,20260522,20260522
1839,0,0,1,0,1,0,0,20260520,20260522
186,0,0,0,0,1,0,0,20260626,20260626
1868,1,0,0,0,0,0,0,20260525,20260525
2073,0,0,0,0,1,0,0,20260615,20260624
24956,1,1,1,1,0,0,0,20260608,20260717
2617,0,1,0,1,0,0,0,20260519,20260521
2728,0,1,1,1,0,0,0,20260519,20260521
2919,0,0,0,0,0,0,0,20260615,20260706
402,1,0,0,0,0,0,0,20260706,20260706
4039,0,0,1,0,0,0,0,20260527,20260610
4150,0,0,1,0,0,0,0,20260520,20260610
4456,0,1,1,1,1,0,0,20260519,20260522
46915,0,1,0,1,0,0,0,20260526,20260827
47665,0,1,0,1,0,0,0,20260521,20260827
50236,0,0,0,0,0,0,0,20260526,20260828
52562,0,1,1,1,0,0,0,20260519,20260827
5363,0,0,1,0,0,0,0,20260527,20260617
54336,1,1,1,1,0,0,0,20260608,20260828
5474,0,0,1,0,0,0,0,20260520,20260617
54781,0,0,1,0,0,0,0,20260527,20260828
54892,0,0,1,0,0,0,0,20260520,20260828
55599,0,0,1,0,0,0,0,20260526,20260828
608,0,0,0,0,0,0,1,20260524,20260524
60962,1,1,1,1,0,0,0,20260526,20260828
61729,1,1,1,1,1,0,0,20260526,20260828
63597,1,1,1,1,1,0,0,20260525,20260828
65418,0,1,1,1,0,0,0,20260519,20260828
66185,0,1,1,1,1,0,0,20260519,20260828
6626,1,1,1,1,1,0,0,20260526,20260605
750,0,0,0,1,0,0,0,20260521,20260521
767,0,0,0,0,1,0,0,20260703,20260703
7980,0,0,0,1,0,0,0,20260519,20260616
826,0,0,0,0,0,1,0,20260523,20260523
9846,0,0,0,0,0,0,0,20260529,20260828
20-1,0,0,0,0,0,1,0,20260315,20260606
20-2,0,0,0,0,0,0,1,20260315,20260606
20-3,1,1,1,1,1,0,0,20260315,20260606
20-4,0,0,0,0,0,1,0,20260315,20260606
20-5,1,0,0,0,0,0,0,20260315,20260606
20-6,1,0,1,0,1,0,0,20260607,20260912
20-7,1,1,1,1,1,0,0,20260607,20260912
20-8,0,0,0,0,1,0,0,20260607,20260912
20-a-1,0,0,0,0,1,0,0,20260607,20260912
20-a-2,0,0,0,0,0,1,0,20260607,20260912
20-a-3,1,0,0,0,0,0,0,20260607,20260912
a-4,1,1,1,1,0,0,0,20260607,20260912
a-5,0,0,0,0,0,0,1,20260607,20260912
H:113:6:Sunday:1:26MAR:1234567,0,0,0,0,0,0,1,20260614,20260823
H:123:0:Weekday:1:26MAR:12345,1,1,1,1,1,0,0,20260615,20260828
H:173:5:Saturday:1:26MAR:6,0,0,0,0,0,1,0,20260613,20260822
KP:323:0:Weekday:1:26MAR:12345,1,1,1,1,1,0,0,20260615,20260828
KPOB-CS:211:6:Sunday:1:26MAR:1234567,0,0,0,0,0,0,1,20260524,20260607
KPOB-CS:221:0:Weekday:1:26MAR:12345,1,1,1,1,1,0,0,20260522,20260612
KPOB-CS:223:0:Weekday:1:26MAR:12345,1,1,1,1,1,0,0,20260615,20260828
KPOB-CS:271:5:Saturday:1:26MAR:6,0,0,0,0,0,1,0,20260523,20260606
KPOB-CS:273:5:Saturday:1:26MAR:6,0,0,0,0,0,1,0,20260613,20260822
MCOB-DO:111:6:Sunday:3:26MAR:1234567,0,0,0,0,0,0,1,20260524,20260607
MCOB-DO:121:0:Weekday:3:26MAR:12345,1,1,1,1,1,0,0,20260522,20260612
MCOB-DO:171:5:Saturday:3:26MAR:6,0,0,0,0,0,1,0,20260523,20260606
1,1,1,1,1,0,0,0,20260607,20260829
10,1,0,0,0,0,0,0,20260607,20260829
11,0,0,0,0,0,1,0,20260607,20260829
12,1,0,0,0,0,0,0,20260607,20260829
13,0,0,0,0,0,0,1,20260607,20260829
14,0,0,0,0,0,0,1,20260607,20260829
15,0,0,0,0,0,1,0,20260607,20260829
16,0,0,0,0,0,1,0,20260607,20260829
17,0,0,0,0,1,0,0,20260607,20260829
18,0,0,0,1,0,0,0,20260607,20260829
19,0,0,1,0,0,0,0,20260607,20260829
2,0,0,0,0,1,0,0,20260607,20260829
3,0,0,0,0,0,0,1,20260607,20260829
4,0,0,0,0,0,1,0,20260607,20260829
5,0,0,0,0,0,0,1,20260607,20260829
6,0,0,1,0,0,0,0,20260607,20260829
7,0,0,0,0,1,0,0,20260607,20260829
8,0,0,0,0,1,0,0,20260607,20260829
9,0,0,0,0,0,1,0,20260607,20260829
a-1,0,0,0,0,0,1,0,20260329,20260606
a-2,1,1,1,1,1,0,0,20260329,20260606
a-3,0,0,0,0,0,0,1,20260329,20260606
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,0,0,0,0,0,1,0,20260329,20260828
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,0,0,0,0,0,0,1,20260329,20260828
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260413,20260501
LLR_2026-05-04_20260409_Link_PinehurstMar26NB_Weekday,1,1,1,1,1,0,0,20260504,20260515
LLR_2026-05-18_20260331_Link_Spring26PinehurstSB_Weekday,1,1,1,1,1,0,0,20260518,20260521
LLR_2026-05-22_Jan29_Spring26_CLCrev_Weekday,0,0,0,0,1,0,0,20260522,20260522
